"Date","Time","Open","High","Low","Close","Volume"
08/28/2014,1103,102.4,102.42,102.38,102.41,59042
08/28/2014,1104,102.41,102.45,102.4,102.44,44728
08/28/2014,1105,102.45,102.46,102.38,102.39,187075
08/28/2014,1106,102.4,102.44,102.37,102.43,58791
08/28/2014,1107,102.43,102.43,102.39,102.43,41356
08/28/2014,1108,102.42,102.46,102.41,102.44,72444
08/28/2014,1109,102.43,102.43,102.37,102.39,74779
08/28/2014,1110,102.38,102.43,102.37,102.4,78235
08/28/2014,1111,102.41,102.43,102.4,102.42,59405
08/28/2014,1112,102.4,102.43,102.37,102.4,95331
08/28/2014,1113,102.4,102.43,102.38,102.39,62823
08/28/2014,1114,102.38,102.41,102.38,102.39,43667
08/28/2014,1115,102.38,102.41,102.38,102.41,54637
08/28/2014,1116,102.41,102.42,102.32,102.32,130529
08/28/2014,1117,102.32,102.39,102.3,102.36,142713
08/28/2014,1118,102.35,102.4,102.3,102.34,175936
08/28/2014,1119,102.35,102.36,102.3,102.33,95873
08/28/2014,1120,102.33,102.34,102.29,102.32,48062
08/28/2014,1121,102.33,102.33,102.28,102.31,63387
08/28/2014,1122,102.31,102.32,102.29,102.32,57964
08/28/2014,1123,102.32,102.35,102.32,102.32,63241
08/28/2014,1124,102.32,102.32,102.25,102.28,117242
08/28/2014,1125,102.27,102.36,102.26,102.35,90875
08/28/2014,1126,102.35,102.36,102.34,102.35,33466
08/28/2014,1127,102.35,102.39,102.34,102.38,87525
08/28/2014,1128,102.38,102.38,102.34,102.36,69957
08/28/2014,1129,102.36,102.38,102.34,102.37,97546
08/28/2014,1130,102.38,102.38,102.35,102.37,63546
08/28/2014,1131,102.36,102.38,102.36,102.36,36229
08/28/2014,1132,102.37,102.37,102.35,102.36,57291
08/28/2014,1133,102.37,102.39,102.36,102.38,90348
08/28/2014,1134,102.38,102.39,102.36,102.37,43327
08/28/2014,1135,102.37,102.38,102.36,102.38,52923
08/28/2014,1136,102.37,102.38,102.35,102.35,73414
08/28/2014,1137,102.36,102.38,102.35,102.38,49742
08/28/2014,1138,102.37,102.48,102.37,102.48,643533
08/28/2014,1139,102.48,102.49,102.43,102.46,118435
08/28/2014,1140,102.47,102.48,102.45,102.46,63445
08/28/2014,1141,102.45,102.47,102.45,102.45,57011
08/28/2014,1142,102.46,102.46,102.43,102.45,39256
08/28/2014,1143,102.44,102.45,102.4,102.43,59657
08/28/2014,1144,102.43,102.47,102.41,102.46,57124
08/28/2014,1145,102.46,102.48,102.42,102.45,50480
08/28/2014,1146,102.45,102.45,102.42,102.42,29136
08/28/2014,1147,102.43,102.45,102.42,102.43,55934
08/28/2014,1148,102.43,102.45,102.42,102.44,54672
08/28/2014,1149,102.43,102.48,102.43,102.48,100874
08/28/2014,1150,102.48,102.53,102.47,102.53,232774
08/28/2014,1151,102.52,102.55,102.52,102.55,157101
08/28/2014,1152,102.55,102.56,102.47,102.5,110271
08/28/2014,1153,102.5,102.51,102.46,102.47,59943
08/28/2014,1154,102.47,102.5,102.46,102.49,29437
08/28/2014,1155,102.48,102.5,102.44,102.45,87645
08/28/2014,1156,102.44,102.45,102.43,102.44,66124
08/28/2014,1157,102.44,102.44,102.35,102.36,97315
08/28/2014,1158,102.36,102.39,102.35,102.38,68362
08/28/2014,1159,102.38,102.43,102.37,102.42,47534
08/28/2014,1200,102.42,102.43,102.41,102.42,53756
08/28/2014,1201,102.43,102.43,102.4,102.43,67206
08/28/2014,1202,102.43,102.43,102.4,102.41,52417
08/28/2014,1203,102.4,102.42,102.37,102.39,42393
08/28/2014,1204,102.4,102.45,102.38,102.45,222506
08/28/2014,1205,102.44,102.49,102.44,102.47,80607
08/28/2014,1206,102.47,102.5,102.43,102.47,161769
08/28/2014,1207,102.47,102.5,102.47,102.49,108405
08/28/2014,1208,102.49,102.49,102.46,102.47,61394
08/28/2014,1209,102.48,102.48,102.46,102.48,79520
08/28/2014,1210,102.48,102.56,102.47,102.55,260066
08/28/2014,1211,102.54,102.55,102.48,102.5,150944
08/28/2014,1212,102.51,102.54,102.49,102.54,59007
08/28/2014,1213,102.53,102.54,102.52,102.54,76225
08/28/2014,1214,102.54,102.54,102.5,102.51,116510
08/28/2014,1215,102.52,102.55,102.51,102.53,64513
08/28/2014,1216,102.53,102.54,102.52,102.53,74180
08/28/2014,1217,102.53,102.57,102.53,102.57,108036
08/28/2014,1218,102.56,102.64,102.55,102.64,252263
08/28/2014,1219,102.63,102.65,102.62,102.64,130592
08/28/2014,1220,102.64,102.68,102.64,102.67,266614
08/28/2014,1221,102.68,102.7,102.67,102.69,102496
08/28/2014,1222,102.69,102.73,102.68,102.72,129075
08/28/2014,1223,102.72,102.77,102.71,102.76,167230
08/28/2014,1224,102.77,102.78,102.75,102.77,155865
08/28/2014,1225,102.76,102.77,102.71,102.71,155512
08/28/2014,1226,102.71,102.74,102.66,102.67,157907
08/28/2014,1227,102.67,102.67,102.64,102.66,130037
08/28/2014,1228,102.66,102.67,102.6,102.64,229293
08/28/2014,1229,102.63,102.65,102.62,102.64,109668
08/28/2014,1230,102.63,102.66,102.63,102.65,60565
08/28/2014,1231,102.66,102.67,102.61,102.62,125737
08/28/2014,1232,102.61,102.62,102.56,102.56,136774
08/28/2014,1233,102.57,102.59,102.56,102.59,85004
08/28/2014,1234,102.59,102.59,102.54,102.56,98598
08/28/2014,1235,102.54,102.55,102.51,102.52,121184
08/28/2014,1236,102.52,102.53,102.5,102.5,80896
08/28/2014,1237,102.5,102.52,102.5,102.52,37062
08/28/2014,1238,102.52,102.53,102.5,102.5,67622
08/28/2014,1239,102.5,102.52,102.49,102.51,62917
08/28/2014,1240,102.51,102.52,102.46,102.48,85897
08/28/2014,1241,102.47,102.51,102.47,102.5,48546
08/28/2014,1242,102.51,102.53,102.5,102.52,78936
08/28/2014,1243,102.53,102.55,102.52,102.54,80475
08/28/2014,1244,102.53,102.54,102.52,102.54,41383
08/28/2014,1245,102.53,102.54,102.51,102.51,53531
08/28/2014,1246,102.52,102.55,102.51,102.55,57823
08/28/2014,1247,102.54,102.55,102.52,102.52,52202
08/28/2014,1248,102.53,102.54,102.51,102.51,35665
08/28/2014,1249,102.51,102.52,102.49,102.5,51734
08/28/2014,1250,102.5,102.54,102.5,102.52,37018
08/28/2014,1251,102.53,102.56,102.51,102.55,47599
08/28/2014,1252,102.56,102.57,102.53,102.55,34057
08/28/2014,1253,102.55,102.58,102.54,102.57,48716
08/28/2014,1254,102.57,102.58,102.55,102.55,42673
08/28/2014,1255,102.56,102.57,102.47,102.47,105057
08/28/2014,1256,102.48,102.5,102.45,102.46,65512
08/28/2014,1257,102.45,102.45,102.38,102.38,104846
08/28/2014,1258,102.39,102.42,102.37,102.41,89761
08/28/2014,1259,102.41,102.43,102.4,102.43,55752
08/28/2014,1300,102.43,102.45,102.4,102.42,73975
08/28/2014,1301,102.42,102.43,102.36,102.36,114934
08/28/2014,1302,102.36,102.41,102.36,102.4,68957
08/28/2014,1303,102.39,102.41,102.37,102.37,57328
08/28/2014,1304,102.37,102.38,102.3,102.31,155544
08/28/2014,1305,102.3,102.31,102.3,102.3,67419
08/28/2014,1306,102.3,102.32,102.3,102.3,52983
08/28/2014,1307,102.31,102.31,102.27,102.3,85811
08/28/2014,1308,102.3,102.35,102.29,102.33,71388
08/28/2014,1309,102.33,102.38,102.33,102.37,53097
08/28/2014,1310,102.38,102.38,102.35,102.37,71805
08/28/2014,1311,102.36,102.39,102.35,102.37,74528
08/28/2014,1312,102.38,102.41,102.38,102.39,56820
08/28/2014,1313,102.38,102.39,102.35,102.37,49203
08/28/2014,1314,102.37,102.45,102.35,102.42,65997
08/28/2014,1315,102.42,102.46,102.42,102.44,78141
08/28/2014,1316,102.44,102.47,102.43,102.45,72496
08/28/2014,1317,102.44,102.45,102.39,102.41,65111
08/28/2014,1318,102.41,102.46,102.4,102.45,61910
08/28/2014,1319,102.45,102.47,102.44,102.45,52284
08/28/2014,1320,102.44,102.45,102.4,102.41,25628
08/28/2014,1321,102.41,102.42,102.38,102.4,66112
08/28/2014,1322,102.4,102.41,102.38,102.39,56850
08/28/2014,1323,102.38,102.38,102.35,102.36,58413
08/28/2014,1324,102.35,102.37,102.34,102.36,44805
08/28/2014,1325,102.36,102.36,102.34,102.35,18821
08/28/2014,1326,102.35,102.35,102.32,102.34,30724
08/28/2014,1327,102.34,102.38,102.33,102.37,45955
08/28/2014,1328,102.37,102.38,102.35,102.36,16926
08/28/2014,1329,102.35,102.36,102.34,102.35,25087
08/28/2014,1330,102.36,102.37,102.35,102.35,38611
08/28/2014,1331,102.35,102.37,102.35,102.37,41719
08/28/2014,1332,102.36,102.39,102.35,102.38,38719
08/28/2014,1333,102.38,102.38,102.36,102.36,50160
08/28/2014,1334,102.35,102.37,102.34,102.37,28163
08/28/2014,1335,102.37,102.38,102.35,102.36,47174
08/28/2014,1336,102.36,102.37,102.34,102.35,49107
08/28/2014,1337,102.36,102.36,102.34,102.34,42563
08/28/2014,1338,102.34,102.39,102.34,102.38,29232
08/28/2014,1339,102.38,102.41,102.36,102.41,61882
08/28/2014,1340,102.4,102.42,102.4,102.42,24749
08/28/2014,1341,102.42,102.46,102.41,102.46,65427
08/28/2014,1342,102.45,102.5,102.45,102.48,93620
08/28/2014,1343,102.47,102.49,102.46,102.47,57470
08/28/2014,1344,102.47,102.49,102.45,102.48,43723
08/28/2014,1345,102.48,102.5,102.48,102.49,30512
08/28/2014,1346,102.5,102.54,102.49,102.52,94011
08/28/2014,1347,102.52,102.53,102.51,102.52,41518
08/28/2014,1348,102.52,102.52,102.49,102.49,58118
08/28/2014,1349,102.49,102.5,102.43,102.44,52773
08/28/2014,1350,102.44,102.46,102.41,102.45,37782
08/28/2014,1351,102.45,102.47,102.44,102.46,23599
08/28/2014,1352,102.47,102.47,102.44,102.44,37304
08/28/2014,1353,102.44,102.47,102.42,102.47,29477
08/28/2014,1354,102.47,102.5,102.45,102.49,51269
08/28/2014,1355,102.49,102.51,102.48,102.49,36763
08/28/2014,1356,102.49,102.49,102.44,102.48,39948
08/28/2014,1357,102.48,102.48,102.44,102.45,48016
08/28/2014,1358,102.45,102.45,102.4,102.4,46949
08/28/2014,1359,102.4,102.43,102.4,102.42,20153
08/28/2014,1400,102.42,102.45,102.41,102.43,38734
08/28/2014,1401,102.43,102.44,102.41,102.41,19747
08/28/2014,1402,102.42,102.43,102.41,102.42,25578
08/28/2014,1403,102.42,102.43,102.41,102.42,14081
08/28/2014,1404,102.42,102.43,102.41,102.41,70707
08/28/2014,1405,102.41,102.43,102.41,102.43,24122
08/28/2014,1406,102.42,102.46,102.42,102.45,80175
08/28/2014,1407,102.45,102.47,102.44,102.45,38571
08/28/2014,1408,102.45,102.45,102.43,102.44,35703
08/28/2014,1409,102.44,102.44,102.43,102.43,25475
08/28/2014,1410,102.44,102.48,102.44,102.47,43119
08/28/2014,1411,102.47,102.48,102.46,102.47,32232
08/28/2014,1412,102.48,102.48,102.44,102.44,39955
08/28/2014,1413,102.45,102.46,102.44,102.45,23861
08/28/2014,1414,102.44,102.45,102.44,102.44,53596
08/28/2014,1415,102.43,102.44,102.42,102.42,29306
08/28/2014,1416,102.43,102.43,102.34,102.37,115552
08/28/2014,1417,102.37,102.39,102.36,102.38,27252
08/28/2014,1418,102.39,102.42,102.37,102.41,26360
08/28/2014,1419,102.4,102.46,102.39,102.45,65713
08/28/2014,1420,102.45,102.47,102.44,102.44,31190
08/28/2014,1421,102.44,102.47,102.44,102.46,31496
08/28/2014,1422,102.46,102.47,102.44,102.47,23536
08/28/2014,1423,102.46,102.47,102.44,102.45,45402
08/28/2014,1424,102.45,102.45,102.41,102.42,33831
08/28/2014,1425,102.42,102.44,102.42,102.44,22907
08/28/2014,1426,102.44,102.44,102.42,102.44,40262
08/28/2014,1427,102.44,102.44,102.42,102.44,20442
08/28/2014,1428,102.44,102.44,102.42,102.43,20312
08/28/2014,1429,102.44,102.44,102.4,102.42,45209
08/28/2014,1430,102.43,102.43,102.39,102.4,30967
08/28/2014,1431,102.41,102.42,102.39,102.42,25937
08/28/2014,1432,102.42,102.43,102.4,102.42,30809
08/28/2014,1433,102.42,102.44,102.41,102.43,37231
08/28/2014,1434,102.44,102.47,102.43,102.47,94378
08/28/2014,1435,102.47,102.47,102.45,102.47,54535
08/28/2014,1436,102.46,102.47,102.44,102.44,38639
08/28/2014,1437,102.44,102.46,102.43,102.46,25961
08/28/2014,1438,102.45,102.47,102.45,102.47,26368
08/28/2014,1439,102.47,102.48,102.44,102.44,64067
08/28/2014,1440,102.44,102.47,102.43,102.47,23627
08/28/2014,1441,102.46,102.49,102.46,102.48,49025
08/28/2014,1442,102.47,102.5,102.47,102.49,70345
08/28/2014,1443,102.5,102.51,102.47,102.48,75249
08/28/2014,1444,102.48,102.48,102.46,102.47,22786
08/28/2014,1445,102.46,102.48,102.46,102.47,15591
08/28/2014,1446,102.47,102.47,102.45,102.47,49392
08/28/2014,1447,102.46,102.47,102.45,102.46,16999
08/28/2014,1448,102.47,102.47,102.43,102.45,60035
08/28/2014,1449,102.45,102.45,102.42,102.44,54583
08/28/2014,1450,102.43,102.45,102.43,102.43,23389
08/28/2014,1451,102.43,102.45,102.37,102.37,140443
08/28/2014,1452,102.38,102.4,102.37,102.39,63939
08/28/2014,1453,102.39,102.4,102.37,102.37,46452
08/28/2014,1454,102.37,102.42,102.37,102.42,39383
08/28/2014,1455,102.42,102.42,102.4,102.4,28523
08/28/2014,1456,102.4,102.41,102.39,102.4,21355
08/28/2014,1457,102.39,102.4,102.33,102.34,111032
08/28/2014,1458,102.33,102.33,102.27,102.3,176878
08/28/2014,1459,102.3,102.31,102.26,102.28,96849
08/28/2014,1500,102.28,102.29,102.26,102.26,72583
08/28/2014,1501,102.27,102.29,102.26,102.27,52515
08/28/2014,1502,102.26,102.27,102.21,102.22,189025
08/28/2014,1503,102.22,102.23,102.16,102.18,202305
08/28/2014,1504,102.18,102.19,102.17,102.18,47031
08/28/2014,1505,102.18,102.23,102.17,102.23,88810
08/28/2014,1506,102.23,102.31,102.22,102.31,122420
08/28/2014,1507,102.31,102.32,102.28,102.31,55400
08/28/2014,1508,102.31,102.32,102.29,102.3,59721
08/28/2014,1509,102.3,102.3,102.25,102.26,40691
08/28/2014,1510,102.26,102.33,102.26,102.32,54213
08/28/2014,1511,102.31,102.32,102.23,102.24,69295
08/28/2014,1512,102.24,102.27,102.24,102.25,24554
08/28/2014,1513,102.25,102.3,102.24,102.27,69189
08/28/2014,1514,102.27,102.28,102.26,102.28,18708
08/28/2014,1515,102.28,102.28,102.26,102.27,43254
08/28/2014,1516,102.28,102.32,102.27,102.32,25814
08/28/2014,1517,102.32,102.36,102.32,102.35,60292
08/28/2014,1518,102.36,102.36,102.32,102.35,37055
08/28/2014,1519,102.35,102.35,102.32,102.34,44351
08/28/2014,1520,102.34,102.36,102.32,102.34,50875
